ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.07.01 05:00,-0.06241906,0.11196790,-0.00092345,-0.69702756,-0.12533540,0.15702370,0.30233831,0.31437556
2026.07.01 06:00,0.00755587,0.08474803,0.00906435,-0.66313967,-0.14421157,0.18239888,0.20495687,0.31862725
2026.07.01 07:00,-0.00172671,0.09437463,0.03965724,-0.58933007,-0.12036173,0.16043987,0.07149007,0.34545671
2026.07.01 08:00,0.02647072,0.06585646,0.04963885,-0.49946461,-0.13763857,0.18218411,-0.02295193,0.33590496
2026.07.01 09:00,0.07842296,0.03972925,0.09398059,-0.37316982,-0.15422237,0.14779920,-0.13234407,0.29980426
2026.07.01 10:00,0.11134344,0.01057166,0.13089864,-0.26507299,-0.19256324,0.10279401,-0.20532645,0.30735493
2026.07.01 11:00,0.15058620,-0.06123453,0.18838932,-0.14659200,-0.19480380,0.03797541,-0.28443366,0.31011307
2026.07.01 12:00,0.24418134,-0.14338581,0.25092115,-0.05514667,-0.24926844,0.01809923,-0.34600345,0.28060264
2026.07.01 13:00,0.23252667,-0.16388861,0.18651861,0.01455288,-0.23132326,0.00319687,-0.38466414,0.34308099
2026.07.01 14:00,0.33344983,-0.25550030,0.15740504,0.16656662,-0.30248092,0.02161799,-0.41612579,0.29506752
2026.07.01 15:00,0.35649150,-0.36254986,0.21425967,0.21836964,-0.30942221,0.00681000,-0.33271995,0.20876122
2026.07.01 16:00,0.17740894,-0.38664117,0.26435333,0.27318209,-0.23147004,-0.04710138,-0.31623924,0.26650746
2026.07.01 17:00,0.12105663,-0.47662357,0.37832880,0.26866196,-0.12513272,-0.04009561,-0.31370511,0.18750962
2026.07.01 18:00,0.09045154,-0.58868196,0.42639807,0.29746863,-0.08680257,-0.04948130,-0.26697588,0.17762347
2026.07.01 19:00,0.05592568,-0.63242368,0.48705620,0.27892163,-0.07828055,-0.08318156,-0.22406082,0.19604312
2026.07.01 20:00,0.02130538,-0.65217861,0.51941163,0.23109926,-0.03793009,-0.06720632,-0.17070867,0.15620741
2026.07.01 21:00,-0.01291223,-0.66318042,0.57704695,0.26096805,-0.04099719,-0.06817687,-0.14146593,0.08871763
2026.07.01 22:00,-0.04837545,-0.67080907,0.60846146,0.23313872,-0.01394354,-0.04740879,-0.11626380,0.05520047
2026.07.01 23:00,-0.08736016,-0.68408891,0.60140258,0.23364902,0.04905028,-0.04861845,-0.07648022,0.01244588
2026.07.02 00:00,-0.11189320,-0.68660243,0.57642676,0.23229700,0.06691796,-0.02872119,-0.01445571,-0.03396918
2026.07.02 01:00,-0.12655969,-0.66248899,0.63002250,0.19724520,0.04436270,-0.06809412,-0.01591992,0.00143232
2026.07.02 02:00,-0.10948337,-0.63554676,0.62705618,0.20270772,0.08589153,-0.07100657,-0.05921318,-0.04040555
2026.07.02 03:00,-0.07661027,-0.59615429,0.62699762,0.18431293,0.10900390,-0.05131908,-0.09063628,-0.10559452
2026.07.02 04:00,-0.09490696,-0.56302758,0.60956843,0.13218116,0.12197481,-0.06421631,-0.08147884,-0.06009470
2026.07.02 05:00,-0.09751763,-0.50203235,0.60930327,0.10388659,0.15636479,-0.07242111,-0.10761395,-0.08996960
2026.07.02 06:00,-0.10735880,-0.45993164,0.59056527,0.11697675,0.18826085,-0.07668336,-0.13645413,-0.11537494
2026.07.02 07:00,-0.13281687,-0.39219694,0.56862550,0.09869386,0.19298392,-0.08423882,-0.17249422,-0.07855643
2026.07.02 08:00,-0.15168665,-0.32897307,0.53396832,0.15230332,0.18840832,-0.10128644,-0.21295613,-0.07977766
2026.07.02 09:00,-0.28540857,-0.28954788,0.51273639,0.42654307,0.17016283,-0.12482341,-0.29983042,-0.10983201
2026.07.02 10:00,-0.34431308,-0.21686656,0.67413470,0.60685227,0.21936613,-0.23604923,-0.49902508,-0.20409915
2026.07.02 11:00,-0.51794896,-0.25276658,0.62186741,0.69845622,0.37823556,-0.36810799,-0.46466009,-0.09507556
2026.07.02 12:00,-0.48706885,-0.21781652,0.55715558,0.75957123,0.33071310,-0.36111438,-0.46573941,-0.11570075
2026.07.02 13:00,-0.43009496,-0.12117342,0.51268409,0.80014338,0.30413434,-0.39574740,-0.48065421,-0.18929181
2026.07.02 14:00,-0.37464744,-0.01322960,0.37856982,0.87227605,0.29737584,-0.37711128,-0.50073769,-0.28249570
2026.07.02 15:00,-0.68297200,0.10519944,0.37752890,0.82139688,0.38876714,-0.47623267,-0.36381308,-0.16987460
2026.07.02 16:00,-0.78930817,0.01950527,0.32575728,0.83389648,0.43555684,-0.54165361,-0.18614609,-0.09760800
2026.07.02 17:00,-0.81849782,-0.01121136,0.34589444,0.78174357,0.52348504,-0.58253132,-0.11806728,-0.12081526
2026.07.02 18:00,-0.84490946,0.02484689,0.22531996,0.82003371,0.57057110,-0.62130608,-0.10798936,-0.06656675
2026.07.02 19:00,-0.84722159,0.00576609,0.20263223,0.83829919,0.58640092,-0.57993519,-0.10165075,-0.10429089
2026.07.02 20:00,-0.82410826,0.02877596,0.16350918,0.83095761,0.58294386,-0.53211793,-0.10594177,-0.14401866
2026.07.02 21:00,-0.83721145,0.01318266,0.13052326,0.79460973,0.58623574,-0.52707215,-0.04943041,-0.11083737
2026.07.02 22:00,-0.81118172,0.00127545,0.07408527,0.74777514,0.59998297,-0.48089545,0.00842075,-0.13946242
2026.07.02 23:00,-0.78349591,-0.01702554,0.02119216,0.72879841,0.60564831,-0.45582395,0.03301878,-0.13231225
2026.07.03 00:00,-0.75188805,-0.02154791,-0.01464446,0.68789998,0.60538736,-0.41855756,0.00749661,-0.09414597
2026.07.03 01:00,-0.68131015,-0.00156222,-0.02256472,0.57274906,0.53847484,-0.38499338,0.06282470,-0.08361814
