ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2025.12.29 00:00,-0.41618941,0.02129012,0.20743900,-0.44826798,0.25553493,0.28841023,0.16450690,-0.07272380
2025.12.30 00:00,-0.37207227,0.01423786,0.19778500,-0.45523582,0.24839575,0.28583384,0.17532150,-0.09426587
2025.12.31 00:00,-0.31347135,0.03015546,0.23749153,-0.44563563,0.27229192,0.26731986,0.13943261,-0.18758440
2026.01.02 00:00,-0.26827486,-0.01374911,0.20748906,-0.42455428,0.29483382,0.23130076,0.16601561,-0.19306100
2026.01.05 00:00,-0.24142466,-0.05512141,0.27066724,-0.38043301,0.29851487,0.11571257,0.18506226,-0.19297787
2026.01.06 00:00,-0.19475747,-0.09280094,0.28519027,-0.35875369,0.25123343,0.00787000,0.28775100,-0.18573260
2026.01.07 00:00,-0.11675470,-0.10446643,0.28055894,-0.27933073,0.20666505,-0.10904700,0.31737787,-0.19500300
2026.01.08 00:00,-0.05072950,-0.13683341,0.28479111,-0.22246419,0.13251579,-0.11224642,0.33351152,-0.22854488
2026.01.09 00:00,0.05933335,-0.14608162,0.29448004,-0.23659409,0.05675093,-0.16407056,0.37711746,-0.24093552
2026.01.12 00:00,0.07568768,-0.18194802,0.32131353,-0.30457548,0.01317157,-0.20049925,0.43429601,-0.15744602
2026.01.13 00:00,0.15729564,-0.17314032,0.32672343,-0.36113361,-0.06387170,-0.18810625,0.46345679,-0.16122399
2026.01.14 00:00,0.16754422,-0.19499563,0.32557690,-0.32359221,-0.08861698,-0.21041260,0.45779217,-0.13329586
2026.01.15 00:00,0.22056716,-0.21216972,0.24395924,-0.31021033,-0.16370905,-0.20645652,0.52984892,-0.10182971
2026.01.16 00:00,0.25624662,-0.21973717,0.20446139,-0.22336313,-0.19636879,-0.24286204,0.49158473,-0.06996160
2026.01.19 00:00,0.21174691,-0.21999011,0.17227180,-0.21891864,-0.16781005,-0.25890046,0.46967012,0.01193043
2026.01.20 00:00,0.16061935,-0.13803934,0.07144045,-0.24877809,-0.04984957,-0.28812467,0.41324256,0.07948930
2026.01.21 00:00,0.17173995,-0.16323784,0.02422146,-0.21444833,-0.13591170,-0.27435407,0.43011123,0.16187929
2026.01.22 00:00,0.08326634,-0.13933049,-0.03234498,-0.34994329,-0.07946935,-0.31681930,0.49520036,0.33944070
2026.01.23 00:00,-0.09453724,-0.16486603,-0.00488521,-0.26269493,0.01243764,-0.34893559,0.50909731,0.35438405
2026.01.26 00:00,-0.25977836,-0.14614813,-0.04355027,-0.16949056,0.08433521,-0.43222101,0.51140522,0.45544790
2026.01.27 00:00,-0.59539520,-0.11757797,-0.07128596,-0.11402085,0.31007741,-0.47767800,0.54689643,0.51898413
2026.01.28 00:00,-0.67370361,-0.20333779,-0.09754964,-0.17823497,0.26758076,-0.39770004,0.63438927,0.64855603
2026.01.29 00:00,-0.80513301,-0.23303842,-0.15732247,-0.16257459,0.38612554,-0.33129286,0.61582742,0.68740841
2026.01.30 00:00,-0.77096419,-0.26598769,-0.18906719,-0.17013549,0.40212131,-0.30441944,0.57495316,0.72349954
2026.02.02 00:00,-0.75867920,-0.28568238,-0.15532230,-0.18070712,0.34376608,-0.27498427,0.57888766,0.73272153
